views,likes,dislikes,comments,engagement_rate,sentiment_score,like_to_view_ratio,comment_to_view_ratio,like_to_comment_ratio,like_to_dislike_ratio,log_views,log_likes,log_comments,engagement_intensity,views_outlier,likes_outlier,comments_outlier,engagement_label
748374,57527,2966,15954,0.098187537247419,-0.250919762305275,0.0768692166360447,0.0213181894103891,3.6055781886555938,19.395482130815914,13.525659468227653,10.96002706478233,9.677527538712344,0.09818740604643394,False,False,False,0
2418783,97185,6146,12703,0.0454311114308311,0.9014286128198324,0.0401792801672245,0.0052518124809821,7.649952770780857,15.812723722746501,14.698775492508977,11.484381947152983,9.449672183486918,0.0454310926482067,False,False,False,0
3191434,146033,5339,8181,0.0483212248788475,0.4639878836228102,0.0457577860742894,0.0025634236636497,17.84808115375214,27.35212586626709,14.97598121687207,11.89159475029123,9.009691898489343,0.0483212097379392,False,False,False,0
343168,10172,666,2146,0.0358949552405818,0.1973169683940732,0.0296413720353528,0.0062534786067506,4.737773637633908,15.273273273273274,12.745978316175949,9.227492430793749,7.671826797878781,0.03589485064210345,False,False,False,0
2095731,132235,1989,17518,0.071456212653246,-0.687962719115127,0.0630972853399194,0.0083588932172625,7.548090644443176,66.48315736551031,14.555413453652532,11.792343484003547,9.771041285235823,0.07145617855718193,False,False,False,0
119180,9763,511,1434,0.0939503272361134,-0.6880109593275947,0.0819174197229424,0.012032119213633,6.803484320557491,19.105675146771038,11.688398624935344,9.186457431512851,7.268920128193722,0.09394953893657546,False,False,False,0
2103417,15993,2445,1970,0.0085399138639651,-0.8838327756636011,0.0076033389464195,0.000936570857528,8.114155251141552,6.541104294478528,14.559074198604902,9.679968930891835,7.58629630715272,0.00853990980394767,False,False,False,0
817732,23663,778,3432,0.0331343276281226,0.7323522915498704,0.02893731817109,0.0041969689372937,6.892805126711331,30.41516709511568,13.614291156434923,10.07171018495058,8.141189793457691,0.033134287108383786,False,False,False,0
826059,3543,119,340,0.0047006327635193,0.2022300234864176,0.0042890346948163,0.0004115923782776,10.390029325513195,29.77310924369748,13.624422689090196,8.173011311724972,5.831882477283517,0.004700627073093964,False,False,False,0
256426,12654,1363,2368,0.0585822030527325,0.416145155592091,0.0493473776162416,0.0092345969808171,5.341494301392993,9.283932501834188,12.454599302696721,9.445807672979225,7.7702232041587855,0.058581974597058814,False,False,False,0
81377,655,25,177,0.0102240190717278,-0.9588310114083952,0.0080488584138219,0.0021750350217503,3.679775280898877,26.2,11.30686024519077,6.486160788944089,5.181783550292085,0.010223893435572267,False,False,False,0
104578,1576,303,1279,0.0273001969821568,0.9398197043239886,0.0150699471213149,0.0122299888122854,1.23125,5.201320132013201,11.55769804563865,7.3632795869630385,7.154615356913663,0.027299935933600437,False,False,False,0
687582,114188,1333,8371,0.1782463764321928,0.6648852816008435,0.1660715869938611,0.0121745302021719,13.639273769708552,85.66241560390098,13.44093782850864,11.64561024932308,9.03264808356589,0.17824611719603306,False,False,False,0
544770,7848,1171,3981,0.0217137507572002,-0.5753217786434477,0.0144060531856504,0.0073076577130574,1.9708689100954293,6.70196413321947,13.208120801857325,8.968141414126814,8.289539484624141,0.021713710898707897,False,False,False,0
207532,7473,246,2120,0.0462241967503806,-0.6363500655857988,0.0360087311415533,0.0102152428770364,3.5233380480905234,30.378048780487806,12.24304564215256,8.91918561004543,7.659642954564682,0.04622397401858981,False,False,False,0
75752,9419,52,1230,0.1405771464779807,-0.6331909802931324,0.124338310033926,0.0162369807136351,7.651502843216897,181.1346153846154,11.235233326547796,9.150590367570409,7.115582126184454,0.14057529074756114,False,False,False,0
295639,8011,638,1256,0.0313456614316785,-0.3915155140809245,0.027097145176566,0.0042484102286564,6.373110580747812,12.556426332288401,12.596897776898823,8.988695696785708,7.136483208590247,0.03134555540522257,False,False,False,0
78044,5398,53,385,0.0740992260775972,0.0495128632644756,0.0691652251905951,0.0049330514446793,13.984455958549225,101.84905660377359,11.265040862392514,8.593969030218288,5.955837369464831,0.07409827663527452,False,False,False,0
97007,11963,36,2211,0.1461131670910346,-0.1361099627157684,0.1233197262081477,0.0227919346857991,5.408227848101266,332.30555555555554,11.482548728311512,9.389657419749838,7.701652362642226,0.1461116608939469,False,False,False,0
